,activeinvestors,alternateofficecount,businessstatus,companyalsoknownas,companyfinancingstatus,companyformername,companyid,companylegalname,companyname,description,employees,exchange,facebookprofileurl,financingstatusnote,firstfinancingdate,firstfinancingdealclass,firstfinancingdealtype,firstfinancingdealtype2,firstfinancingdealtype3,firstfinancingsize,firstfinancingsizestatus,firstfinancingstatus,formerinvestors,growthrate,growthratechange,growthratepercentchange,growthratepercentile,hqaddressline1,hqaddressline2,hqcity,hqcountry,hqemail,hqfax,hqglobalregion,hqglobalsubregion,hqlocation,hqphone,hqpostcode,hqstate_province,keywords,lastfinancingdate,lastfinancingdealclass,lastfinancingdealtype,lastfinancingdealtype2,lastfinancingdealtype3,lastfinancingsize,lastfinancingsizestatus,lastfinancingstatus,lastupdated,linkedinprofileurl,ownershipstatus,parentcompany,pitchbookprofilelink,primaryindustrycode,primaryindustrygroup,primaryindustrysector,sizemultiple,sizemultiplechange,sizemultiplepercentchange,sizemultiplepercentile,socialgrowthrate,socialgrowthratepercentile,socialsizemultiple,socialsizemultiplepercentile,ticker,totalraised,twitterfollowers,twitterfollowerschange,twitterfollowerspercentchange,twittergrowthrate,twittergrowthratepercentile,twitterprofileurl,twittersizemultiple,twittersizemultiplepercentile,universe,webgrowthrate,webgrowthratepercentile,website,websizemultiple,websizemultiplepercentile,wrds_src,yearfounded
0,,,Generating Revenue,,Corporate Backed or Acquired,,100000-00,,Reed Exhibitions (Food Services Events Operations),"Organizer of food services events. The company is engaged in organizing trade and consumer events, shows and food concerts across the globe.",,,,"The Food Services Events Operations of Reed Exhibitions, a subsidiary of Reed Elsevier was acquired by Urban Exposure for an undisclosed amount on August 15, 2013. The company is no longer actively tracked by PitchBook.",2013-08-15,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,1.0,,,,,Gateway House,28 The Quadrant,Richmond,United Kingdom,,,Europe,Western Europe,"Richmond, United Kingdom",,TW9 1DN,England,"business service, food services",2013-08-15,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,2021-04-21,,Acquired/Merged,Urban Exposure,https://my.pitchbook.com?c=100000-00,Information Services (B2C),Media,Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,M&A,,,reedexhibitions.co.uk,,,ot_row,1960.0
1,,,Generating Revenue,,Corporate Backed or Acquired,,100000-09,Andriscos SAS,Andriscos,Provider of real estate services. The company provides real estate brokerage and management services.,,,,"The Andriscos unit of ECH 2 Andriscos I was acquired by Preim Euros for an undisclosed amount on August 1, 2013. The company is no longer actively tracked by PitchBook.",2013-08-01,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,1.0,,,,,"181, avenue Charles de Gaulle",Neuilly-sur-Seine,Paris,France,,,Europe,Western Europe,"Paris, France",,92200,,"building operator, real estate brokerage, real estate management",2013-08-01,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-09,Real Estate Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_row,2007.0
2,,1.0,Profitable,Green Smoke,Corporate Backed or Acquired,,100000-27,SIS Resources Ltd.,SIS Resources,Manufacturer of electronic cigarettes. The company is engaged in manufacturing electronic cigarette.,85.0,,https://www.facebook.com/greensmokeunitedkingdom,"The company was acquired by Nu Mark for $110 million on April 2, 2014.",2013-08-12,Corporate,Corporate,Corporate,,,,Completed,1.0,-0.31,0.02,6.93,7.0,9/2 Nachal Arugot Street,,Beit Shemesh,Israel,,,Middle East,Middle East,"Beit Shemesh, Israel",,,,"e-cigarette, e-vapor",2014-04-02,Corporate,Merger/Acquisition,,,110.0,Actual,Completed,2021-06-08,,Acquired/Merged (Operating Subsidiary),Nu Mark,https://my.pitchbook.com?c=100000-27,Other Consumer Durables,Consumer Durables,Consumer Products and Services (B2C),34.27,-0.2,-0.58,98.0,,,,,,,,,,,,https://twitter.com/greensmokecig,,,M&A,-0.31,8.0,www.greensmoke.com,34.27,97.0,ot_row,2008.0
3,1.0,,Profitable,,Corporate Backed or Acquired,,100000-54,Jade Dynasty Holdings Ltd.,Jade Dynasty Holdings,Provider of a publishing company. The company is engaged in the publication of comics.,,,,"Jade Sparkle Holdings sold 40% of the stake in the company to Green Riches Holdings for HKD$ 60 million on November 22, 2013. The company is no longer actively tracked by PitchBook.",2004-04-30,Corporate,Merger/Acquisition,,,6.54168402,Actual,Completed,1.0,,,,,,,,British Virgin Islands,,,Americas,Central America,British Virgin Islands,,,,"comics, comics publication, publishing company",2013-11-22,Corporate,Secondary Transaction - Private,,,7.73889984,Actual,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-54,Publishing,Media,Consumer Products and Services (B2C),,,,,,,,,,12.57400056,,,,,,,,,M&A,,,,,,ot_row,
4,,,Profitable,,Corporate Backed or Acquired,Hagby Bruk,100000-63,Sandvik Nora AB,Sandvik Nora,"Manufacturer and seller of diamond tools and machines for sawing, drilling and grinding. The company is engaged in manufacturing grinding wheels, electroplated tools, wear parts, diamond dressing tools, diamond honing stones, diamond cutting tools and core drills with accessories.",13.0,,,"The company was acquired by Husqvarna (STO: HUSQ A) on April 30, 2008 for an undisclosed sum. The company is no longer actively tracked by PitchBook.",2006-07-01,Corporate,Merger/Acquisition,Corporate Divestiture,,18.51095163,Actual,Completed,2.0,,,,,Box 4,,Nora,Sweden,,,Europe,Northern Europe,"Nora, Sweden",,713 21,,"diamond cutting, diamond cutting tools, diamond dressers, diamond drill",2008-04-30,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-63,Machinery (B2B),Commercial Products,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,www.hagby.se,,,ot_row,1960.0
5,,,Generating Revenue,,Formerly PE-Backed,,100000-81,,NY State Restaurant Association (Restaurant & Foodservice Operations),Operator of a restaurant and food service show.,,,,"The assets were acquired by Urban Exposure, via its financial sponsor EJF Capital, through an LBO on August 15, 2013 for an undisclosed sum.",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,1.0,,,,,,,,United States,,,Americas,North America,,,,,"food service show, restaurant show, show",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-81,Information Services (B2C),Media,Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Private Equity,,,,,,ot_na,
6,,,Generating Revenue,,Formerly PE-Backed,,100000-81,,NY State Restaurant Association (Restaurant & Foodservice Operations),Operator of a restaurant and food service show.,,,,"The assets were acquired by Urban Exposure, via its financial sponsor EJF Capital, through an LBO on August 15, 2013 for an undisclosed sum.",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,1.0,,,,,,,,United States,,,Americas,North America,,,,,"food service show, restaurant show, show",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-81,Information Services (B2C),Media,Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Private Equity,,,,,,pe_na,
7,,,Generating Revenue,,Formerly PE-Backed,,100000-90,,JB Education (Primary & Secondary Schools),"Provider of educational services. The company operates upper secondary schools, learning institute and primary schools across Sweden.",,,,"The primary and secondary schools of JB Education was acquired by AcadeMedia, via its financial sponsors EQT Partners and Providence Equity Partners, through an LBO on August 15, 2013 for an undisclosed sum.",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,1.0,,,,,Kaserngatan 12,,Jönköping,Sweden,,,Europe,Northern Europe,"Jönköping, Sweden",,553 05,,"educational training, learning institute, secondary school",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-90,Educational and Training Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Private Equity,,,,,,ot_row,
8,,,Generating Revenue,,Formerly PE-Backed,,100000-90,,JB Education (Primary & Secondary Schools),"Provider of educational services. The company operates upper secondary schools, learning institute and primary schools across Sweden.",,,,"The primary and secondary schools of JB Education was acquired by AcadeMedia, via its financial sponsors EQT Partners and Providence Equity Partners, through an LBO on August 15, 2013 for an undisclosed sum.",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,1.0,,,,,Kaserngatan 12,,Jönköping,Sweden,,,Europe,Northern Europe,"Jönköping, Sweden",,553 05,,"educational training, learning institute, secondary school",2013-08-15,Private Equity,Buyout/LBO,Add-on,Corporate Divestiture,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100000-90,Educational and Training Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Private Equity,,,,,,pe_row,
9,,,Generating Revenue,Zana Project,Formerly VC-backed,,100001-08,"The Zana Project, Inc.",Zana,"Provider of an entrepreneur mentoring platform. The company is a virtual Silicon Valley incubator for entrepreneurs. It provides on-demand access to mentors, experts and peer-lead coaching, with the goal of helping entrepreneurs run a successful business.",14.0,,,"The company was acquired by Startups.co for an undisclosed amount on January 13, 2016. The company is no longer actively tracked by PitchBook.",,Other,Accelerator/Incubator,,,,,Completed,4.0,,,,,,,San Francisco,United States,,,Americas,North America,"San Francisco, CA",,,California,"incubator, mentoring, online training",2016-01-13,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100001-08,Educational and Training Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Venture Capital,,,www.zana.io,,,ot_na,2012.0
